"language","setCode","cardId","defaultVariantId","collectorNumber","variants","approvedFacePresent","beforePreferredBlank","afterPreferredBlank","presentation","sourceVariantId","assetId"
"zh-cn","cs6ac","69621ce6-fd39-445b-8127-7ba4b90f9495","c4a45593-960c-46c7-9813-fce2cfd97b59","124","2","true","false","false","exact","c4a45593-960c-46c7-9813-fce2cfd97b59","ba47945b-e6e8-4cf6-8ea8-f9a70914c16c"
"zh-cn","cs6ac","705b686b-e7d4-4438-ab56-49593050db4f","bf94e90b-5c47-45fd-b193-a1f54efa8806","136","1","true","false","false","exact","bf94e90b-5c47-45fd-b193-a1f54efa8806","e8528ac6-9f3a-4310-a660-739510304ed3"
"zh-cn","cs6ac","f3bf0b75-45ff-4e37-b68a-880c69e7a6d9","c4e508bf-52e7-4221-886a-a9aea1d9fa25","138","1","true","false","false","exact","c4e508bf-52e7-4221-886a-a9aea1d9fa25","2b203c37-743e-4db9-8a78-ac636d8199cd"
"zh-cn","cs6ac","6972204f-4b3f-4fbf-b5e2-cb0beb124018","e9643581-9e78-452d-95a6-2f12cbe1eba2","140","1","true","false","false","exact","e9643581-9e78-452d-95a6-2f12cbe1eba2","94281d04-f64d-44a8-ba98-0c0dc9c8223a"
"zh-cn","cs6ac","2795f13f-8d37-4317-b389-9528c9c15f20","f0bb21d3-ca9b-4af9-b6db-14671439ab47","141","1","true","false","false","exact","f0bb21d3-ca9b-4af9-b6db-14671439ab47","3a4499ce-e9b5-4d4c-b7e1-ee4d1f449c3d"
"zh-cn","cs6ac","b0c53c81-4e55-4d06-a4ba-d022b7f467dc","eab4a726-efea-49c9-828d-21be5bcc6072","142","1","true","false","false","exact","eab4a726-efea-49c9-828d-21be5bcc6072","4f1f0831-f1f2-489d-b9f8-f2f056f2868a"
"zh-cn","cs6ac","7e448fec-56fc-400f-a9b0-378481ef5b22","ba0a76ee-a522-400f-b114-e92dd2812b47","144","1","true","false","false","exact","ba0a76ee-a522-400f-b114-e92dd2812b47","824aba41-2a7f-49e3-8ffc-986f63cfea06"
"zh-cn","cs6ac","70f1fe07-ae1c-4c01-96f4-1f8693499d76","e620a07c-09f6-4212-beef-6aa6cf08a424","147","1","true","false","false","exact","e620a07c-09f6-4212-beef-6aa6cf08a424","c37d1030-5392-46bf-82b0-3a2d269d1bbc"
"zh-cn","cs6ac","5c956e5b-1dd8-4d2d-b494-006fa55c44bd","fe8061a4-4c98-4077-b61b-d904050889ca","153","1","true","false","false","exact","fe8061a4-4c98-4077-b61b-d904050889ca","c8f2d05a-9cd7-4898-852d-7e8fa40c04aa"
"zh-cn","cs6ac","6ab414c9-463a-4de5-995b-74cc33077217","c96a66cc-832d-42c5-9192-137043e73638","159","1","true","false","false","exact","c96a66cc-832d-42c5-9192-137043e73638","7716ee56-a9e1-4c04-80a7-64e7f9d9ccdc"
